Фамилия;Имя;Отчество;Документ;Серия документа;Номер документа;Дата рождения;Email;Статус пациента;Дата регистрации;Страна;Регион;Город или населенный пункт;Улица;Пол;Место рождения;Откуда узнал;Врач, от которого узнал о клинике
Иванов;Алексей;Петрович;паспорт РФ;1234;567890;01.01.1980;ivan@mail.ru;Коммерческий;15.10.2023;Россия;;Москва;Мира;М;Москва;из интернета;
Петров;Елена;Ивановна;паспорт РФ;9876;54321;15.05.1992;elena@mail.ru;ОМС;20.09.2023;Россия;;Казань;Строителей;М;СССР;ВК;
Смирнов;Дмитрий;Сергеевич;паспорт РФ;2345;678901;03.07.1985;dmitry@mail.ru;СМ;05.11.2023;Россия;;Екатеринбург;;М;;Телеграм;
Козлова;Мария;Александровна;;;;20.12.1979;maria@mail.ru;СМ клиники;18.08.2023;Россия;р. Башкортостан;;;Ж;Стерлитамак;Новости;
Егоров;Артем;Владимирович;паспорт ИГ;4567;890123;28.09.1990;artem@mail.ru;Коммерческий;25.07.2023;Россия;;;;М;;Знакомые;
Соколов;Ирина;Александровна;паспорт РФ;1234;567890;09.07.1982;irina@mail.ru;ОМС;20.06.2023;Россия;;Казань;Строителей;М;;От врача;Конюч А.Г.
Павлов;Максим;Дмитриевич;паспорт РФ;2345;678901;15.11.1995;max@mail.ru;Коммерческий;05.03.2023;Россия;;;;М;;Телевизор;
Кузнецова;Екатерина;Сергеевна;паспорт РФ;3456;789012;28.05.1987;kate@mail.ru;ОМС;12.09.2023;Россия;р. Адыгея;;;Ж;Франция;ВК;
Михайлов;Петр;Андреевич;паспорт ИГ;4567;890123;03.12.1976;peter@mail.ru;Коммерческий;15.11.2023;Россия;;;;М;;От врача;Зубенко И.И.
Андреева;Ольга;Васильевна;паспорт РФ;5678;901234;18.04.1990;olga@mail.ru;ОМС;08.08.2023;Россия;;;;Ж;;из интернета;
Никитин;Александр;Александрович;паспорт ИГ;6789;12345;22.09.1985;sasha@mail.ru;Коммерческий;30.07.2023;Россия;;Екатеринбург;Переводчиков;М;;Новости;
Козлов;Егор;Игоревич;паспорт РФ;7890;123456;27.03.1983;egor@mail.ru;ОМС;25.05.2023;Россия;;;;М;;Телевизор;
Тимофеева;Виктория;Денисовна;паспорт РФ;8901;234567;12.01.1999;vika@mail.ru;Коммерческий;10.02.2023;Россия;;;;Ж;;Телеграм;
Сидоров;Анастасия;Павловна;паспорт РФ;9012;345678;29.08.1975;nastya@mail.ru;ОМС;18.04.2023;Россия;;Казань;Связистов;Ж;;Телевизор;
Григорьев;Даниил;Артемович;паспорт РФ;1234;56789;05.06.1980;daniil@mail.ru;Коммерческий;22.10.2023;Россия;;;;М;;Знакомые;
Иванова;Елизавета;Ивановна;паспорт РФ;1234;567890;16.12.1992;elizaveta@mail.ru;ДЯ;14.07.2023;Россия;;;;Ж;;От врача;Шеина П.Р
Петрова;Никита;Сергеевич;паспорт РФ;2345;678901;21.02.1988;nikita@mail.ru;ДС;29.09.2023;Россия;;;;М;;От врача;Смоленов В.В.
Смирнов;Алиса;Владимировна;паспорт РФ;3456;789012;07.04.1996;alisa@mail.ru;ОМС;25.03.2023;Россия;р. Адыгея;;Параноиков;Ж;;От врача;Зубенко И.И.
Кузнецов;Марк;Алексеевич;;;;10.10.1981;mark@mail.ru;Коммерческий;17.11.2023;Россия;;;;М;Германия;ВК;
Иванова;Мария;Петровна;паспорт РФ;4567;890123;14.05.1993;maria@mail.ru;ОМС;30.08.2023;Россия;;;;Ж;;из интернета;
Соколова;Артемида;Игоревна;паспорт РФ;5678;901234;25.09.1984;artemida@mail.ru;А/ДЯ;19.04.2023;Россия;;Москва;;Ж;;Телеграм;
Павлов;Владислав;Александрович;паспорт РФ;7890;123456;01.03.1979;vlad@mail.ru;ОМС;07.06.2023;Россия;;;;М;;От врача;Кадыров Р.А.
Новикова;Ева;Викторовна;паспорт РФ;8901;234567;11.11.1991;eva@mail.ru;Коммерческий;23.09.2023;Россия;;;;Ж;;Знакомые;
Миронов;Арсений;Дмитриевич;паспорт РФ;9012;345678;05.07.1987;arseny@mail.ru;А/ДС;11.02.2023;Россия;;;;М;;Новости;
Козлова;Анастасия;Сергеевна;паспорт РФ;1234;56789;29.12.1980;anastasia@mail.ru;Коммерческий;16.10.2023;Россия;р. Башкортостан;;Священников;Ж;;Телевизор;
Сидоров;Денис;Алексеевич;паспорт РФ;1234;567890;18.04.1978;denis@mail.ru;ОМС;28.07.2023;Россия;;Екатеринбург;;М;;Телевизор;
Григорьева;София;Ивановна;паспорт РФ;2345;678901;06.08.1995;sofia@mail.ru;ОМС;05.05.2023;Россия;;;Трампистов;Ж;;Знакомые;
Иванов;Степан;Петрович;паспорт РФ;3456;789012;09.01.1983;stepan@mail.ru;ОМС;20.09.2023;Россия;;;;М;;От врача;Зюзина М.К.
Петрова;Александра;Артемовна;паспорт РФ;4567;890123;17.11.1990;sasha@mail.ru;Коммерческий;14.06.2023;Россия;;;;Ж;;из интернета;
Никитина;Иванна;Сергеевна;паспорт РФ;5678;901234;21.03.1986;ivanna@mail.ru;ОМС;02.12.2023;Россия;;Москва;Холодная;Ж;;ВК;
Кузнецов;Макс;Игоревич;паспорт РФ;6789;12345;30.05.1977;maxim@mail.ru;Коммерческий;10.03.2023;Россия;;;;М;;Из газеты;
Смирнова;Елизавета;Алексеевна;паспорт РФ;7890;123456;26.09.1989;liza@mail.ru;ОМС;18.08.2023;Россия;;;;Ж;;Знакомые;
Козлов;Марк;Дмитриевич;;;;04.07.1994;mark@mail.ru;Коммерческий;25.04.2023;Россия;;;;М;;Из газеты;
Петров;Антон;Сергеевич;паспорт РФ;9012;345678;15.12.1981;anton@mail.ru;ОМС;29.09.2023;Россия;;;;М;;От врача;Таврина Д.Ж.
Новикова;Арина;Ивановна;паспорт РФ;1234;56789;09.11.1997;arina@mail.ru;Коммерческий;07.06.2023;Россия;;;;Ж;;Из газеты;
Соколов;Владимир;Алексеевич;паспорт РФ;1234;567890;22.10.1980;vladimir@mail.ru;Коммерческий;16.03.2023;Россия;;;;М;Дмитровград;из интернета;
Михайлова;Ева;Денисовна;паспорт РФ;2345;678901;18.04.1996;eva2@mail.ru;Коммерческий;25.11.2023;Россия;;Екатеринбург;Беговая;Ж;;От врача;Зубенко И.И.
Андреев;Николай;Владимирович;паспорт РФ;3456;789012;07.07.1982;nikolay@mail.ru;Коммерческий;20.08.2023;Россия;;;;М;село Дубки;Новости;
Сидорова;Александра;Андреевна;паспорт РФ;4567;890123;13.09.1990;sasha2@mail.ru;Коммерческий;14.07.2023;Россия;;;;Ж;;Знакомые;
Григорьев;Иван;Александрович;паспорт РФ;5678;901234;19.11.1985;ivan@mail.ru;Коммерческий;30.09.2023;Россия;;;Трампистов;М;США;От врача;Пупкина М.В.
Иванов;Мария;Ивановна;паспорт РФ;6789;12345;02.06.1998;maria2@mail.ru;Коммерческий;10.04.2023;Россия;;;;М;;Знакомые;
Петров;Артем;Сергеевич;паспорт РФ;7890;123456;25.12.1983;artem2@mail.ru;Коммерческий;22.11.2023;Россия;;Казань;;М;Казань;От врача;Зубенко И.И.
Смирнов;Виктор;Артемович;паспорт РФ;8901;234567;10.08.1979;victor@mail.ru;ОМС;18.03.2023;Россия;;;;М;;ВК;
Кузнецова;Екатерина;Алексеевна;паспорт РФ;9012;345678;28.05.1982;kate2@mail.ru;ОМС;07.07.2023;Россия;;;;Ж;;Знакомые;
Новиков;Максим;Александрович;;;;15.10.1991;max2@mail.ru;Коммерческий;23.09.2023;Россия;;;;М;;От врача;Пупкина М.В.
Миронова;Анна;Максимовна;паспорт РФ;1234;567890;05.07.1996;anna@mail.ru;ОМС;11.02.2023;Россия;;;;Ж;;От врача;Зубенко И.И.
Козлов;Дмитрий;Владимирович;паспорт ИГ;2345;678901;17.12.1981;dmitry@mail.ru;Коммерческий;16.10.2023;Россия;;Екатеринбург;Ламповая;М;Екатеринбург;из интернета;
