id пациента;	Номер карты;	Пол;	Статус пациента;	Фамилия;	Имя;	Отчество;	Документ;	Серия;	Номер документа;	Дата рождения;	Телефон;	Почта;	Связь с другим пациентом;	Дата регистрации;	Страна;	Регион, город, улица, дом;	Место рождения;	Откуда узнал;	Врач, от которого узнал;
295636;	2426;	Ж;	Коммерческий;	Подошва;	Иванна;	Викторовна;	паспорт РФ;	4333;	627551;	21.02.1988;	+7 (984) 646 99 15;	dwnuc@tymbler.ru;	Одиночка;	18.04.2023;	Россия;	Свердловская область, Екатеринбург, улица 8 Марта, дом 33;	Стерлитамак;	из интернета;	;
294171;	56775;	М;	СМ;	Иванов;	Марк;	Павлович;	паспорт РФ;	7606;	461721;	05.06.1980;	+7 (996) 147 51 19;	zefeiz@jandex.ru;	Не одиночка;	10.01.2023;	Россия;	Свердловская область, Екатеринбург, улица 8 Марта, дом 78;	село Дубки;	ВК;	;
294918;	263689;	Ж;	ДС;	Никитина;	Татьяна;	Владимировна;	паспорт РФ;	9936;	020976;	16.12.1992;	+7 (909) 374 45 07;	ypxjnrmc@fail.com;	Не одиночка;	23.02.2023;	Россия;	Чувашская Республика, Чебоксары, улица Горького, дом 7;	село Дубки;	из интернета;	;
295263;	42077;	М;	СМ;	Кузнецов;	Александр;	Дмитриевич;	паспорт РФ;	3166;	146062;	16.12.1992;	+7 (923) 456 16 99;	zhegyn@tymbler.ru;	Одиночка;	04.03.2023;	Россия;	Республика Татарстан, Казань, улица Горького, дом 1;	Дмитровград;	Из газеты;	;
295920;	4274;	М;	СМ клиники;	Григорьев;	Макс;	Сергеевич;	паспорт РФ;	0267;	929767;	14.05.1993;	+7 (952) 376 91 28;	zuebiq@tymbler.ru;	Не одиночка;	18.05.2023;	Россия;	Свердловская область, Екатеринбург, улица 8 Марта, дом 33;	Москва;	ВК;	;
295222;	549887;	М;	Коммерческий;	Кузнецов;	Даниил;	Павлович;	паспорт РФ;	8900;	607797;	22.10.1980;	+7 (983) 905 06 39;	dcjo@tymbler.ru;	Одиночка;	02.12.2023;	Россия;	Чувашская Республика, Чебоксары, улица Горького, дом 2;	Екатеринбург;	Телеграм;	;
295539;	531688;	М;	СМ;	Григорьев;	Петр;	Владимирович;	паспорт РФ;	7900;	231174;	28.03.1993;	+7 (900) 558 34 61;	wbbrr@tymbler.ru;	Не одиночка;	10.01.2023;	Россия;	Республика Татарстан, Казань, улица Горького, дом 19;	Мурманск;	Новости;	;
295699;	65995;	М;	Иностранец;	Гомес;	Альфонсо;	;	Иностранный документ;	;	87540395;	15.05.1992;	+7 (964) 755 48 64;	dvhsbd@fail.com;	Одиночка;	02.06.2023;	США;	Пекин;	Пекин;	Из газеты;	;
294677;	60021;	М;	Иностранец;	Гарсия;	Агапито;	;	Иностранный документ;	;	27564595;	20.12.1979;	+7 (941) 065 10 26;	qvqmk@tymbler.ru;	Одиночка;	25.03.2023;	США;	Пекин;	Пекин;	Из газеты;	;
295319;	96273;	М;	СМ клиники;	Андреев;	Алексей;	Игоревич;	паспорт РФ;	2154;	104785;	10.08.1979;	+7 (911) 939 83 07;	dxrk@fail.com;	Не одиночка;	23.09.2023;	Россия;	Ростовская область, Ростов-на-Дону, улица Пушкинская, дом 9;	Ленинградская область;	Телеграм;	;
295333;	8570;	Ж;	СМ;	Сидорова;	Анна;	Денисовна;	паспорт РФ;	3441;	716475;	17.12.1981;	+7 (900) 915 39 54;	ygqmlt@gfail.com;	Не одиночка;	27.03.2023;	Россия;	Республика Башкортостан, Уфа, улица Ленина, дом 21;	село Дубки;	Телевизор;	;
295841;	49912;	М;	ДС;	Петров;	Артем;	Васильевич;	паспорт РФ;	1056;	369383;	15.10.1991;	+7 (985) 927 66 27;	wdaf@gfail.com;	Не одиночка;	06.07.2023;	Россия;	Краснодарский край, Сочи, улица Лермонтова, дом 2а;	Стерлитамак;	ВК;	;
295326;	168888;	М;	Иностранец;	Ромеро;	Эрнесто;	;	Иностранный документ;	;	45212331;	04.07.1994;	+7 (995) 555 93 75;	ctpm@gfail.com;	Одиночка;	05.04.2023;	Израиль;	Пекин;	Пекин;	из интернета;	;
295286;	9669;	М;	Коммерческий;	Григорьев;	Алексей;	Абрамович;	паспорт РФ;	7605;	230013;	07.07.1982;	+7 (905) 865 06 63;	jchi@tymbler.ru;	Не одиночка;	23.09.2023;	Россия;	Республика Татарстан, Казань, улица Горького, дом 19;	Севастопль;	Знакомые;	;
294357;	326173;	Ж;	Коммерческий;	Иванова;	Алиса;	Александровна;	паспорт РФ;	4590;	358651;	09.07.1982;	+7 (991) 516 32 74;	sdowki@jandex.ru;	Не одиночка;	30.04.2023;	Россия;	Республика Татарстан, Казань, улица Горького, дом 1;	село Дубки;	Новости;	;
294769;	41766;	М;	Иностранец;	Алонсо;	Альфонсо;	;	Иностранный документ;	;	3374591;	05.06.1980;	+7 (911) 243 15 57;	ddotncm@gfail.com;	Не одиночка;	05.09.2023;	Израиль;	Иерусалим;	Иерусалим;	Новости;	;
294943;	19917;	Ж;	Иностранец;	Cruz (Крус);	Джоса;	;	Иностранный документ;	;	5546787;	21.02.1988;	+7 (983) 898 71 78;	jobgb@fail.com;	Одиночка;	13.10.2023;	США;	США;	США;	из интернета;	;
294037;	33074;	Ж;	СМ клиники;	Козлова;	София;	Артемовна;	паспорт РФ;	9476;	675901;	09.02.1997;	+7 (915) 626 37 51;	hsnb@gfail.com;	Одиночка;	04.04.2023;	Россия;	Республика Татарстан, Казань, улица Горького, дом 19;	Киев;	Новости;	;
294138;	3866;	Ж;	Коммерческий;	Миронова;	Ангелина;	Петровна;	паспорт РФ;	9020;	425735;	25.12.1983;	+7 (909) 313 60 72;	triwk@tymbler.ru;	Не одиночка;	26.01.2023;	Россия;	Свердловская область, Екатеринбург, улица 8 Марта, дом 33;	Дмитровград;	из интернета;	;
294227;	61753;	М;	ОМС;	Соколов;	Арсений;	Васильевич;	паспорт РФ;	9127;	647624;	25.12.1983;	+7 (900) 934 90 81;	sjct@gfail.com;	Одиночка;	15.11.2023;	Россия;	Свердловская область, Екатеринбург, улица 8 Марта, дом 78;	Мурманск;	Телевизор;	;
